Account_ID,Customer_ID, Card_Number 
ACC00095,CUST01853,"4,27,00,00,00,000"
ACC00096,CUST00019,"4,74,00,00,00,000"
ACC00097,CUST00009,"2,46,00,00,00,000"
ACC00098,CUST01392,"5,15,00,00,00,000"
ACC00099,CUST00019,"3,35,00,00,00,000"
ACC00100,CUST00906,"6,60,00,00,00,000"
ACC00101,CUST01885,"9,36,00,00,00,000"
ACC00102,CUST00591,"3,00,00,00,00,000"
ACC00103,CUST00019,"5,37,00,00,00,000"
ACC00104,CUST00928,"1,33,00,00,00,000"
ACC00105,CUST00101,"7,02,00,00,00,000"
ACC00106,CUST01950,"7,81,00,00,00,000"
ACC00107,CUST01441,"7,72,00,00,00,000"
ACC00108,CUST00019,"2,47,00,00,00,000"
ACC00109,CUST00546,"5,49,00,00,00,000"
ACC00110,CUST00019,"1,83,00,00,00,000"
ACC00111,CUST01027,"2,20,00,00,00,000"
ACC00112,CUST00136,"7,85,00,00,00,000"
ACC00113,CUST01117,"1,51,00,00,00,000"
ACC00114,CUST01864,"7,03,00,00,00,000"
ACC00115,CUST01883,"7,87,00,00,00,000"
ACC00116,CUST01133,"6,28,00,00,00,000"
ACC00117,CUST01476,"9,09,00,00,00,000"
ACC00118,CUST00040,"5,62,00,00,00,000"
ACC00119,CUST01198,"6,50,00,00,00,000"
ACC00120,CUST00599,"9,29,00,00,00,000"
ACC00121,CUST00893,"4,05,00,00,00,000"
ACC00122,CUST00852,"1,87,00,00,00,000"
ACC00123,CUST01413,"5,60,00,00,00,000"
ACC00124,CUST00031,"4,49,00,00,00,000"
ACC00125,CUST01916,"3,26,00,00,00,000"
ACC00126,CUST01622,"4,21,00,00,00,000"
ACC00127,CUST00004,"1,94,00,00,00,000"
ACC00128,CUST00671,"6,14,00,00,00,000"
ACC00129,CUST00305,"5,34,00,00,00,000"
ACC00130,CUST00009,"2,46,00,00,00,000"
ACC00131,CUST00019,"9,70,00,00,00,000"
ACC00132,CUST01741,"6,48,00,00,00,000"
ACC00133,CUST00796,"5,43,00,00,00,000"
ACC00134,CUST00019,"7,58,00,00,00,000"
ACC00135,CUST00019,"5,61,00,00,00,000"
ACC00136,CUST00019,"2,06,00,00,00,000"
ACC00137,CUST00779,"3,80,00,00,00,000"
ACC00138,CUST01363,"4,74,00,00,00,000"
ACC00139,CUST01111,"5,83,00,00,00,000"
ACC00140,CUST01690,"3,41,00,00,00,000"
ACC00141,CUST01677,"2,91,00,00,00,000"
ACC00142,CUST00019,"9,31,00,00,00,000"
ACC00143,CUST01640,"3,47,00,00,00,000"
ACC00144,CUST01699,"6,36,00,00,00,000"
ACC00145,CUST01208,"6,96,00,00,00,000"
ACC00146,CUST01992,"6,10,00,00,00,000"
ACC00147,CUST00019,"4,06,00,00,00,000"
ACC00148,CUST01456,"1,24,00,00,00,000"
ACC00149,CUST01253,"4,14,00,00,00,000"
ACC00150,CUST00019,"2,82,00,00,00,000"
ACC00151,CUST00019,"7,99,00,00,00,000"
ACC00152,CUST00172,"4,91,00,00,00,000"
ACC00153,CUST00019,"5,35,00,00,00,000"
ACC00154,CUST01585,"9,11,00,00,00,000"
ACC00155,CUST00203,"4,12,00,00,00,000"
ACC00156,CUST00791,"2,48,00,00,00,000"
ACC00157,CUST01784,"4,63,00,00,00,000"
ACC00158,CUST00637,"5,00,00,00,00,000"
ACC00159,CUST01973,"5,80,00,00,00,000"
ACC00160,CUST00019,"5,89,00,00,00,000"
ACC00161,CUST00100,"8,21,00,00,00,000"
ACC00162,CUST00100,"1,22,00,00,00,000"
ACC00163,CUST01494,"6,55,00,00,00,000"
ACC00164,CUST01900,"6,25,00,00,00,000"
ACC00165,CUST01095,"9,90,00,00,00,000"
ACC00166,CUST00535,"7,91,00,00,00,000"
ACC00167,CUST01466,"4,89,00,00,00,000"
ACC00168,CUST00999,"4,09,00,00,00,000"
ACC00169,CUST00381,"4,66,00,00,00,000"
ACC00170,CUST00677,"5,65,00,00,00,000"
ACC00171,CUST00978,"9,45,00,00,00,000"
ACC00172,CUST00721,"7,36,00,00,00,000"
ACC00173,CUST00366,"2,06,00,00,00,000"
ACC00174,CUST00019,"5,29,00,00,00,000"
ACC00175,CUST00071,"5,67,00,00,00,000"
ACC00176,CUST00285,"7,97,00,00,00,000"
ACC00177,CUST01476,"4,33,00,00,00,000"
ACC00178,CUST00464,"6,08,00,00,00,000"
ACC00179,CUST00019,"8,12,00,00,00,000"
ACC00180,CUST00681,"4,86,00,00,00,000"
ACC00181,CUST01065,"3,68,00,00,00,000"
ACC00182,CUST00387,"7,91,00,00,00,000"
ACC00183,CUST00019,"1,28,00,00,00,000"
ACC00184,CUST01717,"7,45,00,00,00,000"
ACC00185,CUST00019,"9,58,00,00,00,000"
ACC00186,CUST00118,"3,28,00,00,00,000"
ACC00187,CUST00756,"4,17,00,00,00,000"
ACC00188,CUST00850,"7,77,00,00,00,000"
ACC00189,CUST00019,"7,81,00,00,00,000"
ACC00190,CUST01945,"3,74,00,00,00,000"
ACC00191,CUST00791,"4,42,00,00,00,000"
ACC00192,CUST00917,"3,30,00,00,00,000"
ACC00193,CUST01892,"3,72,00,00,00,000"
ACC00194,CUST01745,"4,96,00,00,00,000"
ACC00195,CUST01672,"7,01,00,00,00,000"
ACC00196,CUST00019,"4,11,00,00,00,000"
ACC00197,CUST01719,"4,78,00,00,00,000"
ACC00198,CUST00040,"6,34,00,00,00,000"
ACC00199,CUST00019,"8,35,00,00,00,000"
ACC00200,CUST01991,"3,34,00,00,00,000"
ACC00201,CUST01779,"9,45,00,00,00,000"
ACC00202,CUST00019,"6,05,00,00,00,000"
ACC00203,CUST00019,"2,54,00,00,00,000"
ACC00204,CUST01240,"1,29,00,00,00,000"
ACC00205,CUST01145,"9,21,00,00,00,000"
ACC00206,CUST00299,"8,38,00,00,00,000"
ACC00207,CUST00019,"9,54,00,00,00,000"
ACC00208,CUST01169,"1,60,00,00,00,000"
ACC00209,CUST00631,"2,26,00,00,00,000"
ACC00210,CUST00978,"4,78,00,00,00,000"
ACC00211,CUST00895,"3,25,00,00,00,000"
ACC00212,CUST00019,"2,80,00,00,00,000"
ACC00213,CUST00019,"3,25,00,00,00,000"
ACC00214,CUST00019,"9,69,00,00,00,000"
ACC00215,CUST01987,"7,73,00,00,00,000"
ACC00216,CUST00284,"3,74,00,00,00,000"
ACC00217,CUST00232,"2,42,00,00,00,000"
ACC00218,CUST00461,"5,96,00,00,00,000"
ACC00219,CUST01084,"7,46,00,00,00,000"
ACC00220,CUST01370,"6,18,00,00,00,000"
ACC00221,CUST01300,"3,67,00,00,00,000"
ACC00222,CUST00503,"2,91,00,00,00,000"
ACC00223,CUST00308,"4,27,00,00,00,000"
ACC00224,CUST01584,"4,29,00,00,00,000"
ACC00225,CUST00019,"7,11,00,00,00,000"
ACC00226,CUST00865,"7,57,00,00,00,000"
ACC00227,CUST01554,"7,30,00,00,00,000"
ACC00228,CUST00667,"9,39,00,00,00,000"
ACC00229,CUST01984,"3,99,00,00,00,000"
ACC00230,CUST01272,"1,25,00,00,00,000"
ACC00231,CUST00818,"9,81,00,00,00,000"
ACC00232,CUST00019,"1,82,00,00,00,000"
ACC00233,CUST00695,"9,22,00,00,00,000"
ACC00234,CUST01917,"8,15,00,00,00,000"
ACC00235,CUST01727,"9,87,00,00,00,000"
ACC00236,CUST00224,"8,63,00,00,00,000"
ACC00237,CUST01983,"6,38,00,00,00,000"
ACC00238,CUST00019,"7,15,00,00,00,000"
ACC00239,CUST00019,"8,30,00,00,00,000"
ACC00240,CUST00678,"4,39,00,00,00,000"
ACC00241,CUST01848,"3,18,00,00,00,000"
ACC00242,CUST01289,"5,92,00,00,00,000"
ACC00243,CUST00019,"9,80,00,00,00,000"
ACC00244,CUST01576,"2,11,00,00,00,000"
ACC00245,CUST00019,"4,31,00,00,00,000"
ACC00246,CUST01049,"1,68,00,00,00,000"
ACC00247,CUST01266,"2,95,00,00,00,000"
ACC00248,CUST00840,"3,48,00,00,00,000"
ACC00249,CUST01252,"3,13,00,00,00,000"
ACC00250,CUST00019,"2,71,00,00,00,000"
ACC00251,CUST00203,"6,69,00,00,00,000"
ACC00252,CUST00065,"7,61,00,00,00,000"
ACC00253,CUST01477,"6,91,00,00,00,000"
ACC00254,CUST00413,"5,62,00,00,00,000"
ACC00255,CUST00597,"8,87,00,00,00,000"
ACC00256,CUST00998,"6,52,00,00,00,000"
ACC00257,CUST01143,"4,92,00,00,00,000"
ACC00258,CUST00019,"5,40,00,00,00,000"
ACC00259,CUST00019,"6,26,00,00,00,000"
ACC00260,CUST00826,"7,60,00,00,00,000"
ACC00261,CUST01469,"5,75,00,00,00,000"
ACC00262,CUST01045,"5,77,00,00,00,000"
ACC00263,CUST00826,"3,51,00,00,00,000"
ACC00264,CUST01157,"7,28,00,00,00,000"
ACC00265,CUST01388,"6,18,00,00,00,000"
ACC00266,CUST01383,"7,13,00,00,00,000"
ACC00267,CUST00019,"1,83,00,00,00,000"
ACC00268,CUST00929,"9,14,00,00,00,000"
ACC00269,CUST00151,"9,42,00,00,00,000"
ACC00270,CUST00335,"7,28,00,00,00,000"
ACC00271,CUST01842,"6,32,00,00,00,000"
ACC00272,CUST00060,"6,29,00,00,00,000"
ACC00273,CUST01951,"5,81,00,00,00,000"
ACC00274,CUST00019,"3,08,00,00,00,000"
ACC00275,CUST01009,"2,83,00,00,00,000"
ACC00276,CUST00019,"6,25,00,00,00,000"
ACC00277,CUST01232,"6,14,00,00,00,000"
ACC00278,CUST01617,"6,41,00,00,00,000"
ACC00279,CUST01877,"3,23,00,00,00,000"
ACC00280,CUST00019,"2,88,00,00,00,000"
ACC00281,CUST00121,"6,23,00,00,00,000"
ACC00282,CUST00019,"3,39,00,00,00,000"
ACC00283,CUST00839,"2,49,00,00,00,000"
ACC00284,CUST00019,"4,41,00,00,00,000"
ACC00285,CUST01821,"2,06,00,00,00,000"
ACC00286,CUST01780,"3,35,00,00,00,000"
ACC00287,CUST00019,"1,53,00,00,00,000"
ACC00288,CUST00019,"2,06,00,00,00,000"
ACC00289,CUST00621,"3,46,00,00,00,000"
ACC00290,CUST00019,"2,76,00,00,00,000"
ACC00291,CUST01338,"8,26,00,00,00,000"
ACC00292,CUST01918,"3,82,00,00,00,000"
ACC00293,CUST00019,"6,56,00,00,00,000"
ACC00294,CUST01762,"3,46,00,00,00,000"
ACC00295,CUST01741,"9,34,00,00,00,000"
ACC00296,CUST00636,"4,27,00,00,00,000"
ACC00297,CUST00488,"7,86,00,00,00,000"
ACC00298,CUST00019,"7,09,00,00,00,000"
ACC00299,CUST01386,"9,85,00,00,00,000"
ACC00300,CUST01417,"3,90,00,00,00,000"
ACC00301,CUST00019,"1,87,00,00,00,000"
ACC00302,CUST00172,"9,59,00,00,00,000"
ACC00303,CUST01846,"9,31,00,00,00,000"
ACC00304,CUST00019,"6,34,00,00,00,000"
ACC00305,CUST01139,"3,36,00,00,00,000"
ACC00306,CUST00019,"3,39,00,00,00,000"
ACC00307,CUST01970,"5,81,00,00,00,000"
ACC00308,CUST00319,"2,69,00,00,00,000"
ACC00309,CUST00709,"7,67,00,00,00,000"
ACC00310,CUST00019,"3,74,00,00,00,000"
ACC00311,CUST01761,"7,84,00,00,00,000"
ACC00312,CUST00995,"9,40,00,00,00,000"
ACC00313,CUST00161,"2,07,00,00,00,000"
ACC00314,CUST00608,"7,53,00,00,00,000"
ACC00315,CUST00019,"4,37,00,00,00,000"
ACC00316,CUST00019,"3,15,00,00,00,000"
ACC00317,CUST00019,"7,48,00,00,00,000"
ACC00318,CUST00019,"5,84,00,00,00,000"
ACC00319,CUST00844,"8,23,00,00,00,000"
ACC00320,CUST01927,"9,98,00,00,00,000"
ACC00321,CUST00472,"8,47,00,00,00,000"
ACC00322,CUST00272,"8,30,00,00,00,000"
ACC00323,CUST00164,"2,30,00,00,00,000"
ACC00324,CUST01572,"2,87,00,00,00,000"
ACC00325,CUST00959,"7,77,00,00,00,000"
ACC00326,CUST00616,"6,67,00,00,00,000"
ACC00327,CUST00019,"2,51,00,00,00,000"
ACC00328,CUST00038,"3,27,00,00,00,000"
ACC00329,CUST00804,"8,25,00,00,00,000"
ACC00330,CUST01430,"2,18,00,00,00,000"
ACC00331,CUST01855,"2,48,00,00,00,000"
ACC00332,CUST00739,"8,27,00,00,00,000"
ACC00333,CUST01820,"9,76,00,00,00,000"
ACC00334,CUST00019,"9,65,00,00,00,000"
ACC00335,CUST01937,"3,05,00,00,00,000"
ACC00336,CUST00980,"5,72,00,00,00,000"
ACC00337,CUST00802,"9,80,00,00,00,000"
ACC00338,CUST00600,"7,47,00,00,00,000"
ACC00339,CUST01951,"4,11,00,00,00,000"
ACC00340,CUST00998,"5,50,00,00,00,000"
ACC00341,CUST01822,"8,18,00,00,00,000"
ACC00342,CUST01729,"3,60,00,00,00,000"
ACC00343,CUST00019,"6,86,00,00,00,000"
ACC00344,CUST01824,"7,62,00,00,00,000"
ACC00345,CUST01584,"4,87,00,00,00,000"
ACC00346,CUST01373,"4,58,00,00,00,000"
ACC00347,CUST01830,"3,33,00,00,00,000"
ACC00348,CUST00019,"9,84,00,00,00,000"
ACC00349,CUST00019,"3,55,00,00,00,000"
ACC00350,CUST01663,"5,77,00,00,00,000"
ACC00351,CUST01670,"6,85,00,00,00,000"
ACC00352,CUST01338,"5,69,00,00,00,000"
ACC00353,CUST01240,"5,74,00,00,00,000"
ACC00354,CUST01956,"1,05,00,00,00,000"
ACC00355,CUST00551,"4,82,00,00,00,000"
ACC00356,CUST00580,"8,52,00,00,00,000"
ACC00357,CUST00453,"4,05,00,00,00,000"
ACC00358,CUST01933,"5,25,00,00,00,000"
ACC00359,CUST00049,"6,42,00,00,00,000"
ACC00360,CUST00019,"6,62,00,00,00,000"
ACC00361,CUST01508,"5,68,00,00,00,000"
ACC00362,CUST00019,"9,57,00,00,00,000"
ACC00363,CUST00019,"9,75,00,00,00,000"
ACC00364,CUST01806,"5,47,00,00,00,000"
ACC00365,CUST01529,"7,58,00,00,00,000"
ACC00366,CUST01706,"3,34,00,00,00,000"
ACC00367,CUST01606,"6,54,00,00,00,000"
ACC00368,CUST00126,"4,10,00,00,00,000"
ACC00369,CUST01560,"9,24,00,00,00,000"
ACC00370,CUST01109,"4,11,00,00,00,000"
ACC00371,CUST01346,"8,14,00,00,00,000"
ACC00372,CUST01803,"4,55,00,00,00,000"
ACC00373,CUST01534,"8,86,00,00,00,000"
ACC00374,CUST00107,"5,09,00,00,00,000"
ACC00375,CUST01680,"6,73,00,00,00,000"
ACC00376,CUST00652,"3,96,00,00,00,000"
ACC00377,CUST00019,"6,71,00,00,00,000"
ACC00378,CUST01416,"3,19,00,00,00,000"
ACC00379,CUST00284,"3,61,00,00,00,000"
ACC00380,CUST01174,"8,24,00,00,00,000"
ACC00381,CUST01957,"6,14,00,00,00,000"
ACC00382,CUST00304,"5,03,00,00,00,000"
ACC00383,CUST00019,"6,13,00,00,00,000"
ACC00384,CUST00809,"5,93,00,00,00,000"
ACC00385,CUST01146,"4,98,00,00,00,000"
ACC00386,CUST01589,"1,83,00,00,00,000"
ACC00387,CUST01255,"6,73,00,00,00,000"
ACC00388,CUST00019,"9,96,00,00,00,000"
ACC00389,CUST00019,"5,97,00,00,00,000"
ACC00390,CUST00895,"4,23,00,00,00,000"
ACC00391,CUST00019,"2,64,00,00,00,000"
ACC00392,CUST00465,"2,73,00,00,00,000"
ACC00393,CUST00615,"4,29,00,00,00,000"
ACC00394,CUST00019,"6,41,00,00,00,000"
ACC00395,CUST01308,"5,54,00,00,00,000"
ACC00396,CUST00865,"5,07,00,00,00,000"
ACC00397,CUST01745,"3,07,00,00,00,000"
ACC00398,CUST00019,"1,18,00,00,00,000"
ACC00399,CUST01040,"5,62,00,00,00,000"
ACC00400,CUST00019,"6,43,00,00,00,000"
ACC00401,CUST01299,"1,93,00,00,00,000"
ACC00402,CUST01218,"4,65,00,00,00,000"
ACC00403,CUST00117,"5,75,00,00,00,000"
ACC00404,CUST01045,"4,85,00,00,00,000"
ACC00405,CUST00155,"3,54,00,00,00,000"
ACC00406,CUST01497,"8,88,00,00,00,000"
ACC00407,CUST01062,"4,15,00,00,00,000"
ACC00408,CUST00019,"2,92,00,00,00,000"
ACC00409,CUST01229,"1,16,00,00,00,000"
ACC00410,CUST01968,"5,78,00,00,00,000"
ACC00411,CUST01416,"9,18,00,00,00,000"
ACC00412,CUST00522,"8,14,00,00,00,000"
ACC00413,CUST00259,"9,51,00,00,00,000"
ACC00414,CUST00019,"9,67,00,00,00,000"
ACC00415,CUST00019,"6,09,00,00,00,000"
ACC00416,CUST01025,"9,86,00,00,00,000"
ACC00417,CUST01831,"6,78,00,00,00,000"
ACC00418,CUST01614,"5,29,00,00,00,000"
ACC00419,CUST00825,"7,24,00,00,00,000"
ACC00420,CUST00019,"6,45,00,00,00,000"
ACC00421,CUST00926,"3,17,00,00,00,000"
ACC00422,CUST01511,"7,20,00,00,00,000"
ACC00423,CUST00101,"4,11,00,00,00,000"
ACC00424,CUST01279,"1,50,00,00,00,000"
ACC00425,CUST00082,"4,85,00,00,00,000"
ACC00426,CUST00019,"8,99,00,00,00,000"
ACC00427,CUST00019,"4,62,00,00,00,000"
ACC00428,CUST00520,"9,26,00,00,00,000"
ACC00429,CUST01376,"9,10,00,00,00,000"
ACC00430,CUST01967,"8,06,00,00,00,000"
ACC00431,CUST01516,"3,53,00,00,00,000"
ACC00432,CUST00453,"1,06,00,00,00,000"
ACC00433,CUST00019,"2,03,00,00,00,000"
ACC00434,CUST01903,"3,74,00,00,00,000"
ACC00435,CUST00451,"6,52,00,00,00,000"
ACC00436,CUST01055,"1,27,00,00,00,000"
ACC00437,CUST01261,"4,98,00,00,00,000"
ACC00438,CUST01643,"1,81,00,00,00,000"
ACC00439,CUST00019,"6,28,00,00,00,000"
ACC00440,CUST00100,"2,58,00,00,00,000"
ACC00441,CUST01783,"7,89,00,00,00,000"
ACC00442,CUST01159,"1,78,00,00,00,000"
ACC00443,CUST01469,"6,11,00,00,00,000"
ACC00444,CUST00383,"4,90,00,00,00,000"
ACC00445,CUST00898,"4,69,00,00,00,000"
ACC00446,CUST01858,"2,66,00,00,00,000"
ACC00447,CUST00019,"4,58,00,00,00,000"
ACC00448,CUST00243,"8,58,00,00,00,000"
ACC00449,CUST00444,"7,02,00,00,00,000"
ACC00450,CUST00019,"4,46,00,00,00,000"
ACC00451,CUST01460,"1,58,00,00,00,000"
ACC00452,CUST01975,"9,18,00,00,00,000"
ACC00453,CUST00431,"1,90,00,00,00,000"
ACC00454,CUST00530,"6,26,00,00,00,000"
ACC00455,CUST00950,"8,32,00,00,00,000"
ACC00456,CUST01452,"3,97,00,00,00,000"
ACC00457,CUST00236,"9,26,00,00,00,000"
ACC00458,CUST01940,"8,04,00,00,00,000"
ACC00459,CUST00780,"7,93,00,00,00,000"
ACC00460,CUST00578,"7,23,00,00,00,000"
ACC00461,CUST00019,"8,50,00,00,00,000"
ACC00462,CUST01569,"5,96,00,00,00,000"
ACC00463,CUST01368,"2,45,00,00,00,000"
ACC00464,CUST00997,"9,42,00,00,00,000"
ACC00465,CUST00019,"7,57,00,00,00,000"
ACC00466,CUST00950,"3,40,00,00,00,000"
ACC00467,CUST00572,"7,61,00,00,00,000"
ACC00468,CUST01802,"4,10,00,00,00,000"
ACC00469,CUST01019,"9,73,00,00,00,000"
ACC00470,CUST00416,"7,86,00,00,00,000"
ACC00471,CUST01764,"2,32,00,00,00,000"
ACC00472,CUST00744,"2,89,00,00,00,000"
ACC00473,CUST01261,"7,86,00,00,00,000"
ACC00474,CUST01961,"3,17,00,00,00,000"
ACC00475,CUST00376,"1,06,00,00,00,000"
ACC00476,CUST00019,"7,27,00,00,00,000"
ACC00477,CUST01673,"2,74,00,00,00,000"
ACC00478,CUST01743,"4,43,00,00,00,000"
ACC00479,CUST00254,"7,98,00,00,00,000"
ACC00480,CUST01880,"3,93,00,00,00,000"
ACC00481,CUST00019,"4,86,00,00,00,000"
ACC00482,CUST00019,"5,04,00,00,00,000"
ACC00483,CUST00252,"6,53,00,00,00,000"
ACC00484,CUST00194,"6,22,00,00,00,000"
ACC00485,CUST01100,"2,09,00,00,00,000"
ACC00486,CUST00526,"5,95,00,00,00,000"
ACC00487,CUST01384,"4,80,00,00,00,000"
ACC00488,CUST01916,"8,85,00,00,00,000"
ACC00489,CUST01648,"1,97,00,00,00,000"
ACC00490,CUST00898,"5,52,00,00,00,000"
ACC00491,CUST01931,"9,47,00,00,00,000"
ACC00492,CUST00611,"6,37,00,00,00,000"
ACC00493,CUST01114,"8,35,00,00,00,000"
ACC00494,CUST01032,"7,46,00,00,00,000"
ACC00495,CUST01339,"7,57,00,00,00,000"
ACC00496,CUST01793,"2,94,00,00,00,000"
ACC00497,CUST00720,"9,47,00,00,00,000"
ACC00498,CUST01216,"1,41,00,00,00,000"
ACC00499,CUST01466,"4,75,00,00,00,000"
ACC00500,CUST00989,"5,97,00,00,00,000"
