Customer_ID,First_Name,Last_Name,middle_name,full_customer_name,Gender,Date_of_Birth,Marital_Status,Phone_Number,Alternate_Mobile_number,Email,Address,City,State,Postal_Code,Employment_Status,Occupation,Annual_Income,Customer_Segment,KYC_Verified,Risk_Category,Joined_Date,Last_Updated_Date,nationality_code,resident_status,permanent_country_code,correspondence_address_line1,correspondence_city,correspondence_postal_code,relationship_manager_code
CUST00028,Donald,Mccann,Lee,Donald Lee Mccann,Male,1/7/1987,Married,95433036541,95533137551,donald.mccann@example.com,"477 Peterson Center, Shelleyfort, CA 53022",Heidiberg,South Dakota,53022,Unemployed,Unemployed,3889.68,Retail,No,Low,1/17/2024,2/14/2024,AU,Resident,KE,,,,RM5635
CUST00029,Lori,Brown,Jean,Lori Jean Brown,Other,7/8/1959,D,95014294019,95115395119,lori.brown@example.com,"677 Dalton Meadow, Ashleyton, WA 13507",Christopherbury,Delaware,13507,Unemployed,Unemployed,2222,Retail,No,Medium,8/15/2024,9/24/2024,DE,Resident,US,,,,RM9934
CUST00030,Deborah,Miller,Kumar,Deborah Kumar Miller,Female,9/7/1965,D,98169340608,99179351719,deborah.miller@example.com,"0344 Jones Fort Suite 936, New Jeffreyberg, KY 19144",New Charles,Alabama,19144,Self Employed,Diagnostic radiographer,65911.91,Corporate,No,Low,2/25/2023,4/12/2023,ZA,Non-Resident,FR,9 Green Park,New York,240735,RM7482
CUST00031,Rebecca,Larson,Jean,Rebecca Jean Larson,Female,2/5/1988,Single,95951484656,95951595757,rebecca.larson@example.com,"877 Carly Meadows Suite 940, East Suzanneshire, AK 88618",Scottmouth,Vermont,88618,Self Employed,Technical author,5000,SME,Yes,Low,9/30/2024,10/26/2024,GB,NRI,IN,78 Market Road,Sydney,481185,RM7488
CUST00032,Amanda,Avila,Ahmed,Amanda Ahmed Avila,Female,5/19/1981,D,96299468044,97399579155,amanda.avila@example.com,"75655 Mia Isle Suite 746, South Christopherview, DE 53477",Moonburgh,Pennsylvania,53477,Retired,Accommodation manager,24109.51,Retail,No,Low,11/2/2024,12/21/2024,KE,Resident,ZA,,,,RM3946
CUST00033,Mary,Daniels,Kumar,Mary Kumar Daniels,Female,6/26/1977,M,97387214895,97397315995,mary.daniels@example.com,"8247 Martinez Roads, Lake Eric, AL 72885",East Aprilfort,South Dakota,72885,Self Employed,Equality and diversity officer,21624.99,SME,No,High,11/13/2023,1/24/2024,ZA,Resident,US,,,,RM7362
CUST00034,Willie,Durham,Jean,Willie Jean Durham,Male,10/6/1980,Single,70003791769,71113791779,willie.durham@example.com,"7737 Patrick Rapid Apt. 146, Sarahhaven, AL 37573",Lake Marilynfort,Virginia,37573,Retired,Theatre manager,25212.46,Retail,No,Low,7/17/2024,9/12/2024,DE,Non-Resident,ZA,9 Green Park,Cape Town,994631,RM7694
CUST00035,Lauren,Keller,Lee,Lauren Lee Keller,Female,6/23/1959,Single,70016328708,71117339719,lauren.keller@example.com,"5339 Hall Trail Suite 057, Hughesberg, AZ 17048",Ryanstad,Michigan,17048,Employed,Learning disability nurse,44778.94,Retail,No,Low,1/26/2024,9/11/2024,CA,Resident,NG,,,,RM8715
CUST00036,Sergio,Sawyer,Lee,Sergio Lee Sawyer,Male,4/29/1979,M,98895798687,99995799797,sergio.sawyer@example.com,"74596 Melissa Walk, Finleyfort, ND 05206",New Reneetown,Washington,5206,Retired,Farm manager,17408.65,Retail,No,Low,4/24/2024,5/20/2024,US,NRI,FR,22 Rosewood Lane,Toronto,341864,RM4610
CUST00037,Lynn,Mccall,Jean,Lynn Jean Mccall,Female,11/4/1964,Single,94873471434,95973571535,lynn.mccall@example.com,"50455 Thomas Pines, Knightburgh, HI 10851",South Tiffanyville,New Hampshire,10851,Unemployed,Homemaker,11504.34,Retail,Yes,High,4/18/2024,9/13/2024,FR,NRI,DE,22 Rosewood Lane,Sydney,443182,RM7977
CUST00038,Michael,Jimenez,James,Michael James Jimenez,Male,1/17/1989,Single,93623166587,93733177597,michael.jimenez@example.com,"4821 Landry Radial, Daniellechester, KS 60379",East Steven,Kentucky,60379,Employed,"Engineer, civil (contracting)",41581.87,SME,Yes,Low,10/18/2024,11/16/2024,IN,Non-Resident,CA,78 Market Road,New York,362880,RM7821
CUST00039,Yvonne,Castaneda,Ali,Yvonne Ali Castaneda,Female,8/14/1956,M,99096705466,99197715577,yvonne.castaneda@example.com,"Unit 4064 Box 0909, DPO AP 65608",South Ashley,Oregon,65608,Self Employed,Event organiser,51941.55,Corporate,No,High,10/8/2024,11/4/2024,GB,Resident,AU,,,,RM8360
CUST00040,Lawrence,Gomez,Anne,Lawrence Anne Gomez,Male,9/7/1992,M,96706562729,97717573739,lawrence.gomez@example.com,"104 Johnson Lakes, North Renee, WA 54961",New John,Wisconsin,54961,Employed,Consulting civil engineer,39686.45,Retail,No,Low,5/17/2023,10/19/2023,DE,Resident,KE,,,,RM2437
CUST00041,Rachel,Walter,Ahmed,Rachel Ahmed Walter,Other,4/5/1974,D,80162720465,81173731575,rachel.walter@example.com,"71236 Davis Locks Apt. 481, Richardsonview, MS 84196",Mariaview,New Mexico,84196,Retired,Facilities manager,18039.46,Retail,No,High,10/16/2023,1/8/2024,AU,NRI,CA,9 Green Park,Lagos,334165,RM4748
CUST00042,Kaitlyn,Harvey,Lee,Kaitlyn Lee Harvey,Female,7/26/1987,M,94641708053,95751719153,kaitlyn.harvey@example.com,"461 Brandon Camp Suite 711, New Derek, MN 88382",Rosebury,Tennessee,88382,Employed,"Sound technician, broadcasting/film/video",15364.85,SME,Yes,Low,7/31/2024,12/13/2024,FR,NRI,NG,9 Green Park,Nairobi,553172,RM1747
CUST00043,Jason,Newton,Kumar,Jason Kumar Newton,Male,11/17/1959,Single,80923271937,81933371937,jason.newton@example.com,"USNV Johnson, FPO AA 28978",Penafort,South Carolina,28978,Unemployed,Unemployed,5000,Retail,Yes,Low,12/11/2023,5/31/2024,IN,NRI,KE,22 Rosewood Lane,London,906960,RM3183
CUST00044,Savannah,Garcia,Anne,Savannah Anne Garcia,Other,1/9/1996,D,90241904966,91351915977,savannah.garcia@example.com,"1390 Kristin Gardens, Port Anne, WV 73142",Amystad,Arkansas,73142,Employed,"Engineer, technical sales",33455.18,Retail,Yes,Low,6/10/2023,9/7/2024,NG,Non-Resident,GB,78 Market Road,Lagos,419633,RM8315
CUST00045,Robert,Hall,Kumar,Robert Kumar Hall,Male,1/22/2002,D,94919058651,95919159751,robert.hall@example.com,"84210 Alexis Turnpike, New Mario, KS 07369",Port Rachel,Alabama,7369,Unemployed,Looking for work,9516.14,Retail,Yes,Medium,4/9/2023,11/5/2024,DE,NRI,NG,123 Main Street,Nairobi,730190,RM3127
CUST00046,Kelly,Reese,Ahmed,Kelly Ahmed Reese,Female,10/9/1981,M,90657262849,91757373959,kelly.reese@example.com,"084 Schneider Burgs, South Melaniechester, CT 64761",Stricklandhaven,Pennsylvania,64761,Retired,"Producer, radio",22020.25,Retail,No,Medium,7/7/2024,12/30/2024,CA,NRI,FR,9 Green Park,Cape Town,636105,RM5467
CUST00047,Angel,Miller,Grace,Angel Grace Miller,Female,10/4/1990,D,99453147379,99553157379,angel.miller@example.com,"9847 Garcia Squares Apt. 836, Beasleychester, NH 52763",North David,South Carolina,52763,Retired,Intelligence analyst,21287.75,Retail,No,High,11/20/2023,2/1/2024,DE,Non-Resident,ZA,123 Main Street,Cape Town,477650,RM4759
CUST00048,Jeffery,Ortega,Anne,Jeffery Anne Ortega,M,11/1/1974,M,95273545494,95373555595,jeffery.ortega@example.com,"1528 Brenda Points, Elizabethchester, TN 98842",Lake Sandra,California,98842,Employed,Holiday representative,29255.54,Retail,Yes,Low,11/25/2023,1/3/2024,DE,Non-Resident,KE,22 Rosewood Lane,New York,117224,RM4272
CUST00049,Kyle,Bell,Jean,Kyle Jean Bell,M,9/9/1988,Single,96783777014,97793777115,kyle.bell@example.com,"49368 Chelsea Shoals Suite 024, Sandrastad, HI 19277",East Diane,Iowa,19277,Retired,Oncologist,14637.34,Retail,Yes,Low,3/15/2024,11/25/2024,FR,NRI,CA,45 Hilltop Ave,Paris,377558,RM3330
CUST00050,Andrea,Figueroa,Kumar,Andrea Kumar Figueroa,Female,6/13/1951,D,99578856855,99579957955,andrea.figueroa@example.com,"5991 Eric Throughway Apt. 147, Tuckermouth, KY 28756",Lake Alyssafurt,Nebraska,28756,Unemployed,Homemaker,7022.24,Retail,No,Medium,8/9/2024,11/16/2024,GB,NRI,DE,22 Rosewood Lane,Sydney,678721,RM3703
CUST00051,Haley,Rodriguez,Marie,Haley Marie Rodriguez,Female,7/8/1995,Single,90351823374,91351933375,haley.rodriguez@example.com,"34324 Murphy Avenue, Burgessburgh, MS 70307",Roseport,Arizona,70307,Unemployed,Homemaker,8022.45,Retail,Yes,Low,6/30/2024,8/13/2024,CA,NRI,FR,9 Green Park,Sydney,713931,RM4182
CUST00052,Justin,Barnett,Kumar,Justin Kumar Barnett,M,6/18/1973,M,93524082400,93535193511,justin.barnett@example.com,"9696 Roberts Lodge, West Georgemouth, UT 47929",South Michelleton,Nevada,47929,Unemployed,Unemployed,3011.81,Retail,Yes,High,3/10/2023,2/12/2024,IN,Non-Resident,NG,22 Rosewood Lane,Berlin,835719,RM2398
CUST00053,Dana,Chapman,Kumar,Dana Kumar Chapman,Other,1/7/1985,M,90094777520,91195777531,dana.chapman@example.com,"188 Rebecca Keys, Jessicaberg, CT 19695",South Monicamouth,Iowa,19695,Retired,Early years teacher,17126.45,Retail,Yes,Low,7/18/2023,12/18/2023,CA,Resident,GB,,,,RM9485
CUST00054,Lance,Wolf,Ali,Lance Ali Wolf,M,12/20/1993,M,97190229413,97191339513,lance.wolf@example.com,"995 Hernandez Cliff Suite 744, West Williamport, NV 05430",East Stephaniefort,New Jersey,5430,Retired,Historic buildings inspector/conservation officer,17892.51,Retail,Yes,High,2/14/2023,11/27/2023,GB,Non-Resident,KE,78 Market Road,Sydney,804672,RM3508
CUST00055,Angela,Lin,Ali,Angela Ali Lin,Other,7/5/1955,M,97749649909,97759759919,angela.lin@example.com,"9782 Shannon Valleys, Toniland, SD 23118",Fordside,West Virginia,23118,Self Employed,Primary school teacher,65345.94,Corporate,Yes,Low,1/31/2023,8/11/2023,NG,NRI,IN,22 Rosewood Lane,Cape Town,493733,RM9974
CUST00056,Wendy,Warren,Lee,Wendy Lee Warren,Female,11/10/1990,Divorced,90232812067,91333913177,wendy.warren@example.com,"905 Mark Point Suite 449, West Christopher, FL 46352",West Nathan,Maine,46352,Retired,"Conservation officer, nature",14251.04,Retail,No,Medium,8/29/2023,6/28/2024,CA,Resident,ZA,,,,RM4491
CUST00057,Kurt,Hurley,Ali,Kurt Ali Hurley,M,6/6/1970,Single,94471349361,95571359371,kurt.hurley@example.com,"685 Michael Falls, West Stacey, ID 30194",Schneidermouth,Florida,30194,Self Employed,Careers adviser,78055.89,Corporate,Yes,Medium,4/17/2023,8/15/2023,IN,Non-Resident,US,78 Market Road,Nairobi,436274,RM9164
CUST00058,Elizabeth,French,Lee,Elizabeth Lee French,Female,11/29/1983,Single,90024994717,91135995717,elizabeth.french@example.com,"927 Robert Springs, South Cheryl, WA 59342",Lake Matthewberg,Rhode Island,59342,Retired,Field trials officer,12990.74,Retail,No,Low,7/1/2023,8/18/2024,DE,Resident,AU,,,,RM2904
CUST00059,Emily,Stokes,Kumar,Emily Kumar Stokes,Other,4/12/1981,Divorced,97719065940,97719175951,emily.stokes@example.com,"8862 Laurie Dam Suite 075, Lake Meghanville, CO 21513",West Erika,Oregon,21513,Self Employed,Scientific laboratory technician,40131.35,SME,Yes,Low,7/31/2023,7/13/2024,IN,Resident,GB,,,,RM5285
CUST00060,Brittany,Kim,Ahmed,Brittany Ahmed Kim,Other,6/21/1964,Married,99027874296,99137975397,brittany.kim@example.com,"61530 Galvan Villages Suite 220, Samanthafort, DC 92977",Wilkersontown,Nebraska,92977,Employed,Warden/ranger,39231.63,Retail,No,Medium,12/31/2023,6/22/2024,KE,Non-Resident,AU,45 Hilltop Ave,Nairobi,299506,RM6214
CUST00061,Abigail,Miller,Anne,Abigail Anne Miller,Female,10/12/1966,Married,95512567468,95513577579,abigail.miller@example.com,"3410 Robert Underpass, Brownfort, ND 02655",Port Edward,Washington,2655,Retired,"Teacher, special educational needs",20045.72,Retail,Yes,Low,5/5/2024,11/21/2024,DE,NRI,ZA,78 Market Road,Lagos,395869,RM4778
CUST00062,Dana,Thomas,James,Dana James Thomas,Female,7/28/1978,Married,95168087603,95179197713,dana.thomas@example.com,"518 Peter Mountains, Lake Paulstad, WA 02629",New Michaelshire,Nebraska,2629,Unemployed,Homemaker,8903.38,Retail,No,Medium,10/5/2023,11/26/2023,AU,Resident,KE,,,,RM7284
CUST00063,Daisy,Sandoval,Singh,Daisy Singh Sandoval,Other,6/1/1956,Married,80348247710,81359357711,daisy.sandoval@example.com,"772 Bryan Trail, Johnsonborough, WY 26645",Dennisstad,Ohio,26645,Self Employed,Interpreter,60726.72,SME,Yes,High,11/19/2024,11/21/2024,CA,Resident,DE,,,,RM6978
CUST00064,Taylor,Robertson,Grace,Taylor Grace Robertson,Female,4/26/1986,Divorced,80861317127,81971317137,taylor.robertson@example.com,"541 Kim Locks, Klinefurt, HI 65539",Kingborough,Maine,65539,Unemployed,Homemaker,7255.93,Retail,No,Low,6/21/2024,9/25/2024,DE,Non-Resident,NG,45 Hilltop Ave,Toronto,199475,RM8928
CUST00065,Tammy,Stone,Grace,Tammy Grace Stone,F,11/18/2003,Married,93782639821,93793739931,tammy.stone@example.com,"15447 Jackson Mills Suite 705, Hillton, TN 84061",Lake Rogerchester,Rhode Island,84061,Retired,Scientific laboratory technician,16083.73,Retail,No,High,11/12/2023,8/20/2024,AU,Resident,AU,,,,RM3273
CUST00066,Rebecca,Shelton,Kumar,Rebecca Kumar Shelton,Other,6/26/1951,Married,80449972787,81559973797,rebecca.shelton@example.com,"556 Cassie Springs, Rushstad, WV 10578",Port Cathy,New Hampshire,10578,Unemployed,Unemployed,2222,Retail,No,High,3/21/2024,5/13/2024,DE,Resident,ZA,,,,RM3330
CUST00067,Holly,Edwards,Ahmed,Holly Ahmed Edwards,F,4/29/1968,Married,93396360576,93397371577,holly.edwards@example.com,"4739 Benson Overpass, North Derek, NV 23131",North Anthony,Idaho,23131,Self Employed,Chartered loss adjuster,66270.34,Corporate,No,Medium,11/29/2024,12/20/2024,DE,NRI,US,22 Rosewood Lane,Lagos,682153,RM3703
CUST00068,Robert,Ponce,Lee,Robert Lee Ponce,M,2/10/1971,Single,98951718702,99951719713,robert.ponce@example.com,"258 David Flats, East Kristy, MN 73117",Jennaside,Ohio,73117,Self Employed,"Psychologist, sport and exercise",25382.71,SME,Yes,Low,3/20/2024,8/10/2024,DE,Resident,GB,,,,RM4182
CUST00069,Regina,Arnold,Lee,Regina Lee Arnold,F,1/3/1991,Married,95961586578,95971597579,regina.arnold@example.com,"51778 Anderson Village, Port Tammy, NY 07764",North Kylefort,North Dakota,7764,Employed,"Scientist, marine",32598.83,Retail,Yes,Low,10/7/2024,10/19/2024,KE,NRI,ZA,45 Hilltop Ave,Paris,524743,RM2398
CUST00070,Brittany,Martin,Anne,Brittany Anne Martin,Other,4/27/1971,Divorced,94316117240,95317117351,brittany.martin@example.com,"84249 Wayne Extension Apt. 299, Meganshire, AK 11147",West Stacey,North Dakota,11147,Unemployed,Unemployed,3333,Retail,Yes,Medium,2/5/2023,6/17/2024,AU,Non-Resident,CA,9 Green Park,Sydney,177004,RM9485
CUST00071,Deborah,Clark,Anne,Deborah Anne Clark,F,4/18/1988,Married,95623869222,95733979333,deborah.clark@example.com,"3647 Haley Estate Suite 677, West Catherine, VT 42354",Montgomerytown,New York,42354,Retired,Oceanographer,23088.2,Retail,Yes,Low,7/24/2024,9/29/2024,KE,Non-Resident,DE,9 Green Park,Lagos,243314,RM3508
CUST00072,Bianca,Wood,Singh,Bianca Singh Wood,F,8/1/1987,Divorced,70374740748,71375751759,bianca.wood@example.com,"46963 Lisa Ports, Jamesburgh, NY 61687",West Johnville,Louisiana,61687,Employed,Insurance account manager,42170.71,Retail,No,High,1/23/2024,12/29/2024,ZA,NRI,FR,45 Hilltop Ave,London,439085,RM9974
CUST00073,Kathleen,Davis,Ali,Kathleen Ali Davis,F,2/15/1976,Divorced,94647436713,95757537713,kathleen.davis@example.com,"9748 Melanie Meadows Apt. 456, Brandonton, OH 26014",Levyborough,Pennsylvania,26014,Unemployed,Homemaker,10879.22,Retail,No,Low,10/9/2023,12/11/2024,DE,NRI,IN,45 Hilltop Ave,Nairobi,442728,RM4491
CUST00074,Angel,Gordon,Anne,Angel Anne Gordon,Other,5/19/2001,Married,80640909743,81751919753,angel.gordon@example.com,"523 Porter Cape Apt. 257, Hernandezhaven, MD 80857",Marciaville,Florida,80857,Unemployed,"Nurse, learning disability",7856.95,Retail,Yes,Low,12/14/2024,12/14/2024,KE,Resident,DE,,,,RM9164
CUST00075,Wanda,Stevenson,Lee,Wanda Lee Stevenson,Other,9/22/1969,Single,99421047095,99531157195,wanda.stevenson@example.com,"0551 Silva Underpass Apt. 974, Lake Brett, GA 69213",Williamhaven,Ohio,69213,Employed,Museum/gallery conservator,48657.75,Retail,No,Low,4/4/2023,10/13/2023,NG,Resident,DE,,,,RM2904
CUST00076,Brittany,Becker,James,Brittany James Becker,F,7/6/1951,Divorced,96232858842,97333959953,brittany.becker@example.com,"8970 April Points, Whitneyfort, MS 41625",East Andrewmouth,Nebraska,41625,Retired,Site engineer,22369.16,Retail,No,Medium,5/15/2023,5/6/2024,NG,Non-Resident,NG,45 Hilltop Ave,New York,391597,RM5285
